model,accuracy
lr-e1dddba1c9f0c0fe37292d838234f217,0.7885
lr-e2aeaf7b85cc40013fe95c66a4965421,0.6059
lr-e323c337a16dfb888d17f7a367e8435b,0.3776
lr-e325c32a438b5116798b399c078b081c,0.1776
lr-e3482453d69cdc6ba3442e671ac7c249,0.3190
lr-e35ff27a39255ddc23d1d7104ee38871,0.7857
lr-e39961e4f91a3ed48f48563cf05884a8,0.3053
lr-e5170a8be6f30f3b77d7632e211e6fdf,0.3887
lr-e55b4a7d724300e9947b1b257e4e7736,0.4011
lr-e57e6110b45e3ead6ea6214ead44953c,0.7189
lr-e59d58f3602406a6ca299310a4f473fe,0.2302
lr-e6252ba904890c0562387c62e6ac61a7,0.4277
lr-e64fc664b5db68eb76fb2a9fe56989c5,0.6114
lr-e66ee1afb96c20f7380cdf79ea5cc5cd,0.7911
lr-e705fd236ac61e7b7576d6ed0afb1705,0.2531
lr-e76054534a49e0a133b5da9bf9f58472,0.2489
